Date,Vuosimuutos (%),Hinta (snt/kWh),Juustotjarahkat,Liha,Maito,Viljatuotteetjaleipa,Voi
2008-01-01,3.8,5.41,107.76,108.11,118.21,105.24911602209949,109.78
2008-02-01,3.7,4.96,109.07,108.96,119.0,109.91,111.25
2008-03-01,3.9,5.18,108.76,109.68,119.32,109.92,111.19
2008-04-01,3.5,5.14,108.78,109.69,119.51,110.51,111.16
2008-05-01,4.2,5.21,115.74,110.1,130.31,111.44,118.91
2008-06-01,4.4,5.56,116.46,110.17,131.12,111.57,121.54
2008-07-01,4.4,5.68,116.73,110.47,131.18,111.32,121.62
2008-08-01,4.7,5.59,117.05,110.26,130.58,111.42,121.78
2008-09-01,4.7,5.74,117.81,112.33,131.21,112.37,125.25
2008-10-01,4.4,5.89,118.05,113.09,131.2,113.07,124.11
2008-11-01,3.6,5.49,117.9,113.46,131.21,113.55,119.92
2008-12-01,3.5,5.54,117.7,113.35,131.21,113.38,111.49
2009-01-01,2.2,5.66,119.63,116.19,131.36,115.44,100.55
2009-02-01,1.7,5.17,120.68,116.99,131.07,115.64,99.25
2009-03-01,0.9,5.31,120.68,116.64,129.41,116.54,93.98
2009-04-01,0.8,5.46,120.24,117.07,130.15,116.8,96.73
2009-05-01,0.0,5.58,120.43,116.55,130.18,116.67,94.98
2009-06-01,-0.1,5.51,120.47,117.02,130.11,116.81,93.27
2009-07-01,-0.6,5.58,119.84,116.63,130.12,116.2,90.05
2009-08-01,-0.7,5.45,119.6,116.64,129.74,116.4,91.86
2009-09-01,-1.0,5.55,119.08,116.1,129.95,116.25,91.43
2009-10-01,-1.5,5.49,113.45,110.59,123.09,110.77,77.93
2009-11-01,-0.9,5.5,113.09,110.41,123.53,110.69,78.99
2009-12-01,-0.5,5.54,112.59,109.99,123.39,110.7,78.12
2010-01-01,-0.2,6.26,112.78,109.68,122.77,110.29,78.15
2010-02-01,0.1,6.72,113.08,109.15,121.43,111.02,77.07
2010-03-01,0.6,6.36,112.77,108.85,112.76,110.99,76.9
2010-04-01,0.9,6.19,112.68,109.43,112.83,110.7,77.22
2010-05-01,1.0,5.78,112.66,109.51,112.68,110.4,72.63
2010-06-01,0.9,5.83,112.74,109.0,112.99,110.23,75.19
2010-07-01,1.1,5.88,112.97,108.79,112.85,110.66,74.77
2010-08-01,1.2,5.78,113.17,109.27,113.04,110.47,73.57
2010-09-01,1.4,5.84,114.79,110.98,113.34,110.83,78.9
2010-10-01,2.3,5.87,114.91,111.33,112.41,111.33,79.69
2010-11-01,2.5,5.98,114.86,111.59,112.43,111.73,79.2
2010-12-01,2.9,6.18,114.87,111.95,112.51,111.94,78.96
2011-01-01,3.0,6.93,114.87,112.46,113.13,112.29,78.95
2011-02-01,3.3,6.69,116.78,114.41,114.81,115.53,87.45
2011-03-01,3.3,6.47,116.74,114.59,114.75,115.83,87.49
2011-04-01,3.2,6.6,116.09,114.41,114.76,115.69,86.96
2011-05-01,3.3,6.39,118.08,113.7,117.91,116.06,89.27
2011-06-01,3.5,6.32,118.25,114.09,118.98,116.49,89.29
2011-07-01,4.0,6.14,118.68,113.71,118.82,116.38,90.32
2011-08-01,3.8,6.07,118.67,114.12,118.59,116.6,90.41
2011-09-01,3.7,6.07,120.75,117.49,120.09,116.52,93.6
2011-10-01,3.5,5.99,120.6,117.66,120.48,116.78,94.0
2011-11-01,3.4,6.05,120.8,118.27,120.14,117.1,104.07
2011-12-01,2.9,5.86,120.77,118.63,120.34,117.5,115.92
2012-01-01,3.2,5.96,120.48,118.59,121.68,117.37,113.17
2012-02-01,3.1,6.08,124.03,121.08,121.25,119.07,116.78
2012-03-01,2.9,5.84,124.17,121.54,121.18,119.13,116.92
2012-04-01,3.1,5.92,124.59,121.77,121.01,119.57,117.07
2012-05-01,3.1,5.8,123.56,122.98,122.55,119.78,116.02
2012-06-01,2.8,5.62,123.75,124.1,122.07,119.8,114.1
2012-07-01,2.9,5.65,123.73,124.2,121.27,119.56,117.19
2012-08-01,2.7,5.67,123.75,124.35,122.27,119.95,116.0
2012-09-01,2.7,6.17,124.99,126.59,122.5,120.44,116.15
2012-10-01,2.6,6.28,124.47,126.49,123.08,119.67,115.83
2012-11-01,2.2,6.2,124.37,129.31,123.57,120.32,114.62
2012-12-01,2.4,6.04,125.0,129.52,123.38,120.49,115.69
2013-01-01,1.6,5.82,125.1,129.71,123.21,120.62,116.28
2013-02-01,1.7,5.69,126.18,133.46,143.7,124.57,118.97
2013-03-01,1.7,5.69,126.31,134.2,142.69,124.86,119.94
2013-04-01,1.5,6.01,126.46,133.75,143.61,125.53,120.49
2013-05-01,1.6,5.94,126.45,133.24,143.84,124.95,120.28
2013-06-01,1.4,5.87,126.24,133.11,143.72,124.97,119.39
2013-07-01,1.6,6.02,126.26,133.25,144.21,124.93,119.99
2013-08-01,1.2,5.97,127.23,133.19,144.3,124.9,119.93
2013-09-01,1.2,6.13,126.97,132.95,148.3,125.26,119.76
2013-10-01,1.2,6.24,127.17,132.37,149.28,124.67,119.33
2013-11-01,1.4,6.22,127.24,132.79,149.17,124.18,119.37
2013-12-01,1.6,5.84,126.63,132.92,149.35,124.16,115.46
2014-01-01,1.6,5.8,126.39,132.32,150.09,124.46,118.44
2014-02-01,1.3,5.86,126.92,131.68,149.35,125.09,119.3
2014-03-01,1.1,5.54,127.71,131.03,150.22,124.9,118.38
2014-04-01,1.1,5.41,126.09,130.73,150.61,124.47,118.94
2014-05-01,0.8,5.49,126.11,130.39,149.49,124.85,114.96
2014-06-01,0.9,5.65,125.96,130.34,149.93,124.24,114.08
2014-07-01,0.8,5.55,126.04,130.17,150.79,124.03,113.76
2014-08-01,1.1,5.58,126.21,129.97,150.47,123.45,112.74
2014-09-01,1.3,5.64,127.53,130.61,149.9,123.35,104.97
2014-10-01,1.0,5.64,127.66,130.4,148.61,123.27,98.02
2014-11-01,1.0,5.57,126.28,130.43,149.12,123.02,98.03
2014-12-01,0.5,5.61,125.9,130.37,148.15,122.81,98.23
2015-01-01,-0.2,5.43,125.35,131.06,146.33,123.24,98.17
2015-02-01,-0.1,5.49,121.33,129.49,139.65,121.36,94.54
