"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2005M01,0111 Viljatuotteet ja leipa,99.51
2005M01,0112 Liha,99.88
2005M01,01141 Maito,100.21
2005M01,01144 Juustot ja rahkat,100.09
2005M01,01151 Voi,98.21
2005M01,011612 Banaanit,95.62
2005M01,011613 Omenat,108.22
2005M02,0111 Viljatuotteet ja leipa,99.4
2005M02,0112 Liha,99.5
2005M02,01141 Maito,100.3
2005M02,01144 Juustot ja rahkat,100.03
2005M02,01151 Voi,98.2
2005M02,011612 Banaanit,97.33
2005M02,011613 Omenat,108.8
2005M03,0111 Viljatuotteet ja leipa,99.5
2005M03,0112 Liha,99.2
2005M03,01141 Maito,100.31
2005M03,01144 Juustot ja rahkat,100
2005M03,01151 Voi,100.2
2005M03,011612 Banaanit,99.01
2005M03,011613 Omenat,109.84
2005M04,0111 Viljatuotteet ja leipa,99.54
2005M04,0112 Liha,100.08
2005M04,01141 Maito,100.14
2005M04,01144 Juustot ja rahkat,99.97
2005M04,01151 Voi,100.07
2005M04,011612 Banaanit,102.52
2005M04,011613 Omenat,107.81
2005M05,0111 Viljatuotteet ja leipa,99.91
2005M05,0112 Liha,99.69
2005M05,01141 Maito,99.97
2005M05,01144 Juustot ja rahkat,100.04
2005M05,01151 Voi,100.17
2005M05,011612 Banaanit,103.16
2005M05,011613 Omenat,104.66
2005M06,0111 Viljatuotteet ja leipa,100.02
2005M06,0112 Liha,100.18
2005M06,01141 Maito,99.98
2005M06,01144 Juustot ja rahkat,99.82
2005M06,01151 Voi,99.79
2005M06,011612 Banaanit,107.9
2005M06,011613 Omenat,109.72
2005M07,0111 Viljatuotteet ja leipa,100.14
2005M07,0112 Liha,100.06
2005M07,01141 Maito,99.89
2005M07,01144 Juustot ja rahkat,100.06
2005M07,01151 Voi,100.52
2005M07,011612 Banaanit,104.6
2005M07,011613 Omenat,105.7
2005M08,0111 Viljatuotteet ja leipa,100.35
2005M08,0112 Liha,99.24
2005M08,01141 Maito,100.14
2005M08,01144 Juustot ja rahkat,100.21
2005M08,01151 Voi,100.62
2005M08,011612 Banaanit,101.59
2005M08,011613 Omenat,87.82
2005M09,0111 Viljatuotteet ja leipa,100.46
2005M09,0112 Liha,100.65
2005M09,01141 Maito,100.02
2005M09,01144 Juustot ja rahkat,99.97
2005M09,01151 Voi,100.95
2005M09,011612 Banaanit,98.66
2005M09,011613 Omenat,86.17
2005M10,0111 Viljatuotteet ja leipa,100.52
2005M10,0112 Liha,100.08
2005M10,01141 Maito,99.81
2005M10,01144 Juustot ja rahkat,100.11
2005M10,01151 Voi,100.72
2005M10,011612 Banaanit,97.15
2005M10,011613 Omenat,87.74
2005M11,0111 Viljatuotteet ja leipa,100.16
2005M11,0112 Liha,100.58
2005M11,01141 Maito,99.49
2005M11,01144 Juustot ja rahkat,99.76
2005M11,01151 Voi,100.88
2005M11,011612 Banaanit,94.06
2005M11,011613 Omenat,90.46
2005M12,0111 Viljatuotteet ja leipa,100.43
2005M12,0112 Liha,100.8
2005M12,01141 Maito,99.68
2005M12,01144 Juustot ja rahkat,99.87
2005M12,01151 Voi,99.61
2005M12,011612 Banaanit,98.34
2005M12,011613 Omenat,93.01
2006M01,0111 Viljatuotteet ja leipa,100.88
2006M01,0112 Liha,100.67
2006M01,01141 Maito,102.21
2006M01,01144 Juustot ja rahkat,100.2
2006M01,01151 Voi,100.21
2006M01,011612 Banaanit,99.08
2006M01,011613 Omenat,96.02
2006M02,0111 Viljatuotteet ja leipa,101.42
2006M02,0112 Liha,100.79
2006M02,01141 Maito,104.32
2006M02,01144 Juustot ja rahkat,100.51
2006M02,01151 Voi,99.67
2006M02,011612 Banaanit,100.9
2006M02,011613 Omenat,96.7
2006M03,0111 Viljatuotteet ja leipa,101.14
2006M03,0112 Liha,100.48
2006M03,01141 Maito,104.6
2006M03,01144 Juustot ja rahkat,100.39
2006M03,01151 Voi,99.55
2006M03,011612 Banaanit,94.74
2006M03,011613 Omenat,100.5
2006M04,0111 Viljatuotteet ja leipa,101.2
2006M04,0112 Liha,100.58
2006M04,01141 Maito,104.18
2006M04,01144 Juustot ja rahkat,100.39
2006M04,01151 Voi,99.33
2006M04,011612 Banaanit,92.99
2006M04,011613 Omenat,102.44
2006M05,0111 Viljatuotteet ja leipa,101.84
2006M05,0112 Liha,100.79
2006M05,01141 Maito,104.14
2006M05,01144 Juustot ja rahkat,100.29
2006M05,01151 Voi,99.79
2006M05,011612 Banaanit,92.96
2006M05,011613 Omenat,106.59
2006M06,0111 Viljatuotteet ja leipa,101.77
2006M06,0112 Liha,100.99
2006M06,01141 Maito,104.18
2006M06,01144 Juustot ja rahkat,100.37
2006M06,01151 Voi,99.81
2006M06,011612 Banaanit,94.05
2006M06,011613 Omenat,114.73
2006M07,0111 Viljatuotteet ja leipa,101.55
2006M07,0112 Liha,100.86
2006M07,01141 Maito,104.21
2006M07,01144 Juustot ja rahkat,100.26
2006M07,01151 Voi,99.48
2006M07,011612 Banaanit,88.51
2006M07,011613 Omenat,115.82
2006M08,0111 Viljatuotteet ja leipa,101.33
2006M08,0112 Liha,101.06
2006M08,01141 Maito,104.26
2006M08,01144 Juustot ja rahkat,100.12
2006M08,01151 Voi,100.72
2006M08,011612 Banaanit,79.03
2006M08,011613 Omenat,118.31
2006M09,0111 Viljatuotteet ja leipa,101.68
2006M09,0112 Liha,101.46
2006M09,01141 Maito,104.51
2006M09,01144 Juustot ja rahkat,100.11
2006M09,01151 Voi,100.88
2006M09,011612 Banaanit,82.26
2006M09,011613 Omenat,116.59
2006M10,0111 Viljatuotteet ja leipa,101.49
2006M10,0112 Liha,101.63
2006M10,01141 Maito,104.48
2006M10,01144 Juustot ja rahkat,100.3
2006M10,01151 Voi,100.32
2006M10,011612 Banaanit,74.79
2006M10,011613 Omenat,112.49
