"13rb -- Sahkon hinta kuluttajatyypeittain, 2008M01-2023M01",,
,,
Kuukausi,Sahkon kuluttajatyyppi,Hinta (snt/kWh)
2008M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.41
2008M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.96
2008M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.18
2008M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.14
2008M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.21
2008M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.56
2008M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.68
2008M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.59
2008M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.74
2008M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.89
2008M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.49
2008M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.54
2009M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.66
2009M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.17
2009M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.31
2009M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.46
2009M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.58
2009M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.51
2009M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.58
2009M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.45
2009M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.55
2009M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.49
2009M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.5
2009M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.54
2010M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.26
2010M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.72
2010M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.36
2010M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.19
2010M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.78
2010M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.83
2010M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.88
2010M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.78
2010M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.84
2010M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.87
2010M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.98
2010M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.18
2011M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.93
2011M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.69
2011M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.47
2011M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.6
2011M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.39
2011M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.32
2011M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.14
2011M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.07
2011M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.07
2011M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.99
2011M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.05
2011M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.86
2012M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.96
2012M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.08
2012M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.84
2012M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.92
2012M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.8
2012M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.62
2012M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.65
2012M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.67
2012M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.17
2012M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.28
2012M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.2
2012M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.04
2013M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.82
2013M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.69
2013M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.69
2013M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.01
2013M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.94
2013M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.87
2013M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.02
2013M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.97
2013M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.13
2013M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.24
2013M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.22
2013M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.84
2014M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.8
2014M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.86
2014M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.54
2014M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.41
2014M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.49
2014M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.65
2014M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.55
2014M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.58
2014M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.64
2014M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.64
2014M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.57
2014M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.61
2015M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.43
2015M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.49
2015M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.41
2015M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.38
2015M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.23
2015M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.08
2015M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.16
2015M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.19
2015M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.35
2015M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.32
2015M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.32
2015M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.17
2016M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.23
2016M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.04
2016M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.15
2016M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.95
2016M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.95
2016M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.23
2016M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.21
2016M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.32
2016M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.32
2016M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.34
2016M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.51
2016M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.33
2017M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.15
2017M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.21
2017M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.09
2017M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.12
2017M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.06
2017M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.98
2017M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.15
2017M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.27
2017M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.38
2017M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.32
2017M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.15
2017M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.12
2018M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.17
2018M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.55
2018M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.5
2018M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.29
2018M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.37
2018M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.37
2018M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.57
2018M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.73
2018M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.92
2018M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.84
2018M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.01
2018M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.06
2019M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.85
2019M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.12
2019M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.61
2019M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.44
2019M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.62
2019M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.43
2019M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.74
2019M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.78
2019M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",6.04
2019M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.99
2019M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.95
2019M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.69
2020M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.45
2020M02,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.07
2020M03,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.11
2020M04,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.91
2020M05,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.79
2020M06,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",4.94
2020M07,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.22
2020M08,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.61
2020M09,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.95
2020M10,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.78
2020M11,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.46
2020M12,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.71
2021M01,"Yritys- ja yhteisoasiakas, vuosikulutus 20 000 - 69 999 MWh",5.45
